replacement_id;van_route_fk;vehicle_fk
221;710;63
222;457;73
223;802;58
224;593;67
225;790;92
226;330;100
227;249;13
228;395;34
229;391;67
230;121;51
231;745;32
232;686;100
233;288;35
234;661;40
235;852;81
236;475;60
237;832;75
238;479;62
239;838;28
240;875;59
241;505;2
242;772;46
243;600;96
244;694;3
245;375;10
246;683;46
247;294;98
248;881;68
249;144;93
250;417;65
251;802;86
252;283;14
253;201;1
254;961;86
255;160;59
256;60;42
257;753;82
258;817;41
259;988;80
260;914;54
261;445;13
262;626;8
263;830;13
264;449;50
265;445;21
266;94;65
267;346;97
268;61;96
269;429;89
270;825;32
271;152;16
272;472;64
273;500;31
274;188;52
275;83;7
276;278;57
277;841;91
278;517;20
279;916;66
280;331;90
281;886;74
282;434;20
283;434;56
284;855;1
285;941;23
286;793;32
287;952;91
288;323;69
289;551;63
290;902;60
291;686;88
292;647;27
293;429;34
294;966;10
295;100;20
296;977;80
297;987;65
298;915;1
299;887;13
300;913;85
301;193;50
302;912;97
303;446;18
304;593;64
305;13;73
306;597;17
307;611;94
308;872;81
309;24;74
310;517;62
311;532;58
312;692;93
313;350;15
314;419;34
315;984;64
316;745;75
317;344;77
318;608;38
319;325;85
320;588;24
321;419;69
322;781;10
323;294;76
324;37;28
325;859;28
326;810;80
327;559;12
328;353;99
329;130;91
330;700;25
331;748;61
332;52;100
333;718;34
334;277;91
335;319;25
336;476;11
337;835;49
338;343;96
339;259;89
340;62;86
341;276;72
342;1000;32
343;309;66
344;724;34
345;616;48
346;257;63
347;826;3
348;78;49
349;963;13
350;629;14
351;397;79
352;525;23
353;902;71
354;816;25
355;547;48
356;576;92
357;29;98
358;305;14
359;197;66
360;52;80
361;865;10
362;735;60
363;750;23
364;885;33
365;328;87
366;849;22
367;491;78
368;749;42
369;371;81
370;361;71
371;842;65
372;989;75
373;281;1
374;333;44
375;481;48
376;117;37
377;281;29
378;785;93
379;576;30
380;338;5
381;711;49
382;349;13
383;906;4
384;83;91
385;803;33
386;661;61
387;683;95
388;136;63
389;300;55
390;856;25
391;343;69
392;775;45
393;99;96
394;537;56
395;39;40
396;163;86
397;305;82
398;592;67
399;962;4
400;517;55
401;893;1
402;906;39
403;520;87
404;992;1
405;699;13
406;170;49
407;519;75
408;503;78
409;276;79
410;307;69
411;763;99
412;416;86
413;614;20
414;107;96
415;105;94
416;806;69
417;860;85
418;532;37
419;331;54
420;119;80
421;164;53
422;500;8
423;406;88
424;173;82
425;268;79
426;335;31
427;120;3
428;787;1
429;778;28
430;438;69
431;391;62
432;237;98
433;104;21
434;655;58
435;196;25
436;161;45
437;684;58
438;881;66
439;459;87
440;416;43
441;838;62
442;751;47
443;871;42
444;46;59
445;473;58
446;665;99
447;483;90
448;700;49
449;936;55
450;68;24
451;908;6
452;664;95
453;913;26
454;480;79
455;818;89
456;627;46
457;540;22
458;816;76
459;941;40
460;679;2
461;626;100
462;990;72
463;276;66
464;284;22
465;401;65
466;527;31
467;629;77
468;311;72
469;191;56
470;910;95
471;61;34
472;834;97
473;469;92
474;783;78
475;949;39
476;797;87
477;368;17
478;844;24
479;782;60
480;154;32
481;687;2
482;99;25
483;521;87
484;910;24
485;258;89
486;571;91
487;774;14
488;631;43
489;254;44
490;810;52
491;160;88
492;455;50
493;903;87
494;234;67
495;449;47
496;12;50
497;116;78
498;667;23
499;814;4
500;175;74
501;522;52
502;176;81
503;983;95
504;278;91
505;628;34
506;88;74
507;926;24
508;918;53
509;120;81
510;371;4
511;41;17
512;42;85
513;693;34
514;234;54
515;915;40
516;745;64
517;685;99
518;179;52
519;60;23
520;525;73
521;286;13
522;253;38
523;22;20
524;580;87
525;230;45
526;903;51
527;279;84
528;834;36
529;495;11
530;614;29
531;502;31
532;542;14
533;728;42
534;786;87
535;231;29
536;663;21
537;307;22
538;281;92
539;585;47
540;920;3
541;105;95
542;655;48
543;309;94
544;864;95
545;728;72
546;559;97
547;739;13
548;521;79
549;218;62
550;208;65
551;972;93
552;297;30
553;535;52
554;195;64
555;966;6
556;134;55
557;415;39
558;292;68
559;335;4
560;377;13
561;697;83
562;33;90
563;448;77
564;917;4
565;163;8
566;341;80
567;990;80
568;314;71
569;728;71
570;266;38
571;341;41
572;292;30
573;408;18
574;596;11
575;150;3
576;164;47
577;318;22
578;71;30
579;207;99
580;822;20
581;313;87
582;963;35
583;956;99
584;928;8
585;421;28
586;726;98
587;486;1
588;19;48
589;940;70
590;259;41
591;682;4
592;485;93
593;648;58
594;985;91
595;679;31
596;5;35
597;56;76
598;964;32
599;756;97
600;370;43
601;142;47
602;182;21
603;266;45
604;230;72
605;511;28
606;199;58
607;852;7
608;791;91
609;208;41
610;945;11
611;874;19
612;512;20
613;184;87
614;756;26
615;294;46
616;286;22
617;895;51
618;612;77
619;125;97
620;890;84
621;824;16
622;111;41
623;38;58
624;637;7
625;77;83
626;52;85
627;981;96
628;87;35
629;163;85
630;105;29
631;271;51
632;253;52
633;507;48
634;710;89
635;549;35
636;706;76
637;452;33
638;729;39
639;287;36
640;683;53
641;680;28
642;31;10
643;903;25
644;74;35
645;239;85
646;471;60
647;899;46
648;262;27
649;775;87
650;415;52
651;772;12
652;695;30
653;55;50
654;916;76
655;423;79
656;320;82
657;757;51
658;919;5
659;177;48
660;898;29
661;261;98
662;273;22
663;325;25
664;197;100
665;12;51
666;409;73
667;198;40
668;743;9
669;310;75
670;687;99
671;758;50
672;209;17
673;510;100
674;842;18
675;121;47
676;798;52
677;528;74
678;223;2
679;48;87
680;593;36
681;271;15
682;730;62
683;296;98
684;489;23
685;724;51
686;74;81
687;713;54
688;758;2
689;626;66
690;907;32
691;23;85
692;91;5
693;269;67
694;408;24
695;826;62
696;787;83
697;873;39
698;374;48
699;747;54
700;463;30
701;327;40
702;328;33
703;848;18
704;55;62
705;997;74
706;452;22
707;959;98
708;984;68
709;231;53
710;949;87
711;629;12
712;288;53
713;382;86
714;942;91
715;32;27
716;200;4
717;455;99
718;755;24
719;578;94
720;654;100
721;892;31
722;874;27
723;458;48
724;529;21
725;555;23
726;141;56
727;423;43
728;894;97
729;491;46
730;127;60
731;473;37
732;853;1
733;722;15
734;990;44
735;430;62
736;134;15
737;843;18
738;251;98
739;724;85
740;980;73
741;89;3
742;630;60
743;850;79
744;953;67
745;118;88
746;150;53
747;30;43
748;161;91
749;155;9
750;464;70
751;87;54
752;900;61
753;414;20
754;80;95
755;380;82
756;460;16
757;717;77
758;217;8
759;613;9
760;625;22
761;404;10
762;468;64
763;435;8
764;729;46
765;991;61
766;410;75
767;78;28
768;302;41
769;70;27
770;113;48
771;926;10
772;935;60
773;810;44
774;810;16
775;901;27
776;462;87
777;229;43
778;99;5
779;150;83
780;118;63
781;628;91
782;312;80
783;303;41
784;243;86
785;97;59
786;66;15
787;400;26
788;24;39
789;355;97
790;375;26
791;342;42
792;799;97
793;740;79
794;256;86
795;150;32
796;204;96
797;344;98
798;685;34
799;795;2
800;882;68
801;538;54
802;538;99
803;618;43
804;836;72
805;623;69
806;10;24
807;394;89
808;211;4
809;157;47
810;601;20
811;259;69
812;821;61
813;461;79
814;540;33
815;162;66
816;577;57
817;187;79
818;938;12
819;151;92
820;450;96
821;252;5
822;880;9
823;218;6
824;664;49
825;663;78
826;48;13
827;311;63
828;222;53
829;601;74
830;285;93
831;913;5
832;261;88
833;257;67
834;843;43
835;735;36
836;236;5
837;416;27
838;407;6
839;581;45
840;959;30
841;231;60
842;777;81
843;11;26
844;694;78
845;438;76
846;153;41
847;415;51
848;102;59
849;738;74
850;363;7
851;683;39
852;724;48
853;374;97
854;590;94
855;309;83
856;682;67
857;806;79
858;322;99
859;818;55
860;771;98
861;286;63
862;22;40
863;409;14
864;373;5
865;237;20
866;439;3
867;523;10
868;638;80
869;329;91
870;403;76
871;397;96
872;95;84
873;689;42
874;832;8
875;55;66
876;230;12
877;562;46
878;769;71
879;908;61
880;199;96
881;284;71
882;932;62
883;827;36
884;275;91
885;324;62
886;486;55
887;401;81
888;985;67
889;647;37
890;709;46
891;142;3
892;142;27
893;581;19
894;714;70
895;704;55
896;966;31
897;887;61
898;749;90
899;138;86
900;161;39
901;994;21
902;564;85
903;974;42
904;572;74
905;119;79
906;843;55
907;325;47
908;958;40
909;274;81
910;113;39
911;621;23
912;196;13
913;727;76
914;819;30
915;409;5
916;697;98
917;272;98
918;82;68
919;41;40
920;11;64
921;830;17
922;334;26
923;438;88
924;983;46
925;207;49
926;789;90
927;711;5
928;684;27
929;521;75
930;547;41
931;152;59
932;332;8
933;438;81
934;990;14
935;728;91
936;701;30
937;241;11
938;546;29
939;686;31
940;784;80
941;525;41
942;55;61
943;638;94
944;62;33
945;723;29
946;127;42
947;840;21
948;321;14
949;99;10
950;70;49
951;704;4
952;100;18
953;476;26
954;614;4
955;643;4
956;429;90
957;905;34
958;601;1
959;906;18
960;615;76
961;434;6
962;789;20
963;381;55
964;39;29
965;606;9
966;163;42
967;83;33
968;421;94
969;301;6
970;725;83
971;854;41
972;315;69
973;323;88
974;168;26
975;681;13
976;475;19
977;601;63
978;360;94
979;711;79
980;986;67
981;896;50
982;813;29
983;218;16
984;31;33
985;375;43
986;22;35
987;930;47
988;693;71
989;125;14
990;640;29
991;709;90
992;676;16
993;964;66
994;399;35
995;394;24
996;123;23
997;571;97
998;106;58
999;203;7
1000;886;72
