License_Plate;In_Use;Capacity
GD9468G0GB0F;1;5858899
KR1830H1EFCU;1;18547973
BI3195CP2CYS;0;5929697
BI684188H07P;1;11841991
TK5358KRRNSW;1;14013472
PO7883YP4AIZ;1;5360811
CZ1789WSDYFB;0;15827291
LU54161ELFJG;1;17841140
GD9012OPDO7X;1;11053906
CZ9782HSBTTF;1;8835222
WA7093DI756Q;1;13776067
PO4234AIJ6B8;1;16783280
BI94103VW2WM;1;16359445
WA4792UQ40DU;1;17673681
WA8287JSX0S6;1;19066542
TK932508MFDA;1;14412484
WA886613BUIH;1;10291726
KR6345W6VHJV;1;13439514
CZ73022EDVII;1;7960627
GD1850RLT5RY;0;9172313
PO4615KHZHUR;1;13795641
CZ6941VJ2RWS;1;11476607
BI0580RHELQQ;1;17271992
PO7427ACGRZ9;1;19937013
PO2671I9SPVQ;1;14131751
PO87410TPAWE;1;9167286
WA8434SODZHH;1;18518828
BI3163N48RVC;1;11362224
GD52481V4TVX;1;11829649
CZ2759G48VB9;1;6593786
TK9146R6XCJM;1;15825988
LU3459XANEWT;1;12334856
BI7013IVO1C8;1;16910347
KR1294Y87UW9;1;10108947
PO2825T0X375;1;19358920
TK5139V9625T;1;19031419
LU08525SNER7;1;15692382
PO8085A6IH2D;1;10506804
WA5013C3RBLA;0;17855440
TK3597PJDXR8;1;5361787
CZ1166751Q5U;1;14597428
PO4146C52GP7;1;19371706
WA1878RE5HTL;1;7360323
BI9886SPGZP9;1;5381378
TK6531G0B1HX;1;10358690
KR8320YMKJA9;1;10047939
TK1957PSH0FG;1;16281889
GD08527BHNF2;1;10520407
CZ606954ODXT;1;11886549
GD5452Q0NTLT;1;18295962
WA1380N0HFG3;1;15521383
BI2179AZGB9X;0;10348804
WA21083YDJMC;1;5294258
GD9649L2XOMY;1;6602914
TK2166OXYMPT;1;7368696
TK3473QDYI4L;1;9814361
TK759006QHPC;1;10148888
PO566828H27C;1;16081430
GD7324V1ZY5D;1;19243016
BI599020S5S9;1;6918419
KR6539QHLD4M;0;9466688
CZ4314HV2H1B;1;9680436
WA1978T0TYLG;1;10033766
BI0112QHFSXJ;1;6315386
WA2581A7UZ48;1;17249823
GD3055XKO3OX;1;16603174
LU078323MTKG;0;5227413
PO27147T1CO1;1;10203019
KR9617YO2R8P;1;6318371
WA3174TWCZ27;1;18035666
LU5691X7YJ1U;1;10570503
WA64587GKC1R;1;19347998
CZ3813SACHEI;0;12850008
WA4691XZ2YGU;1;15388161
TK76127JQ2P6;1;9842343
TK7787ULP2D9;1;9866648
WA65987HAW7K;0;12005896
GD92538V3V1B;1;12894842
CZ9529RLY08D;1;15393365
PO3682WOQNEE;1;14827360
PO31839HXUZ9;1;9573212
CZ3768OQKEI4;1;14796757
KR11893Y34DK;1;9150508
LU446323WTRW;1;16450735
KR5276Y2PE2L;0;13338688
PO3921MGO35R;1;19394536
WA82301VLXJ9;1;5432036
WA4947LF74XH;1;13352345
BI6722HWE0VP;1;12657797
CZ1821TLETUR;1;15753752
CZ066874F9OW;1;6870629
CZ77725JPF7R;1;9547037
BI2635SZPN4J;1;5049937
LU0750LCV7IL;1;14976794
KR574191BU0V;1;14954595
WA0618SIQVQ9;1;13078795
WA53735GR75S;1;12818969
LU34474TRB7Z;1;14303245
CZ38725V3BCO;1;12908901
LU24399YSS1C;1;12443955
LU0943KLNF4N;1;18916915
LU6243UU19O0;1;11616895
KR867028493L;1;7567694
LU673078JWVR;1;18610680
LU1659MDKQH7;1;18507402
LU23430M3TU1;1;18919335
CZ630563MLBC;1;10962294
PO92049ADJQV;1;13315124
LU94484YFG4D;1;10637517
CZ0866ATYVGE;1;17955022
BI104703DCHJ;0;7323285
LU7104CXRRP7;1;13723779
KR2336TK51Q8;1;15848719
BI9153N9HPOX;1;14565421
PO2420ZQKTIV;1;17171032
GD1178P8654X;1;10858460
TK9219E5DHM4;1;5017209
LU6282EEZ82L;1;8177085
TK1702PC0AHY;1;19507005
BI2920ZEYTZM;1;11407173
GD2868HNFVD6;1;7633344
LU9131XBTSWG;1;15788732
PO7189O1A7MN;1;10909906
KR8971V8DOPL;1;10717651
PO7858IPKEUO;1;14289776
BI6181URMMRE;1;9315736
GD99788OXY89;1;17493626
TK900308P0NP;1;14500995
WA2522IKLHRL;1;13686841
WA0167VHY8JI;1;14372608
CZ7577YNNH53;1;16710014
TK9172G72LT6;1;9885167
WA0329BDMQ0I;1;12333813
TK4704VUTWRT;1;17661306
CZ2467M0SCIW;1;7962521
KR9384QR8Y4L;0;10419946
GD73046FFNXE;1;18331245
BI2588F84GSX;1;14007318
CZ5987PPIAQZ;1;11209539
TK9746WFOMP5;0;12190788
WA20158B3K5H;0;14310393
KR4923DSM82O;1;16397981
PO8505IU1NIQ;1;14509916
TK70919V19TX;1;8860428
LU7931QENS0M;1;14827734
LU618958PUZK;1;19637104
WA5025DSY3JY;1;17225250
WA0966A9Z85C;1;16697580
LU6264W3703O;1;14057892
GD2485MZCS2Z;1;5114225
WA6532ZM8EQE;1;18714175
GD8760G7O0VN;1;8414368
PO9279ZYJHP1;1;18875897
KR6666ZAMCQC;1;17728806
TK67513FHLVW;1;10707885
CZ9081OF165D;1;9533378
LU7543E2KIBV;1;10525025
CZ3187D2JN81;1;18065383
LU5812I4YRZ2;1;10864711
BI4219VHNIJF;1;11280021
KR8705DXQTFR;1;18449407
BI06520E3E0O;0;17412273
GD0258D4SL2F;1;17914234
WA7828MBRAGM;1;6645205
TK26937PS990;1;9759200
KR7657E2LYQ4;1;13107916
CZ5351T89IWA;1;18834746
PO08310GKOGE;1;12496380
CZ7711GQQFCF;1;12297860
CZ8870Y96X9V;1;18625484
CZ6451SFT332;0;11558875
BI0656NBNH98;1;10810686
TK6669G1ZFZR;1;11662181
BI9388H7KIKT;1;11173333
BI5210DGGM9N;1;16047747
PO8188EMZVD9;1;7599710
TK87944464G2;1;11444972
PO7515EECNIZ;1;18368401
GD6466AK089M;1;19154890
KR68585Q4JAL;1;14189399
CZ7917U25TYN;1;7916949
WA5852F7CH21;1;13580827
PO7591FA6ZXZ;1;19445300
WA9183VSBYE7;1;9159038
WA2908PRUHO7;1;19588645
CZ3283QC9AAG;1;17844278
GD2306O6MUC3;1;12247337
GD175229QOIR;1;17202067
GD3632UPUJIY;1;5905201
GD0454Y68IPA;1;8236423
WA80433KZHZI;1;9486040
PO2226N59FLL;1;14138305
BI0015C0047X;1;16444024
PO6680IE8G1D;1;8240451
BI1531FOJWB8;1;10910026
KR6121V69II2;1;7924436
BI0945A4K148;1;19727750
LU1644NGAY04;1;5513481
BI0218O5362Q;1;13459193
CZ9185C7Y0NF;1;10812175
WA0951T6JA5J;1;7803351
PO7888AUCXC8;1;18144663
GD7429KI1SDN;1;6284036
GD2153MQSFII;1;12207644
BI06762UOU6S;1;7340814
LU7669SDM9FL;1;15676421
LU3238SBUY9X;1;6290433
KR08460LQ8WC;1;19608509
LU4282IUMEZY;1;6341417
PO2453I86KGJ;1;11152513
TK6839NP76TO;1;18004281
LU6234VCDSHM;1;17301464
BI2544EGF8HH;1;7385455
LU6112PW4PBZ;1;17795456
LU7475IHCW1X;0;8892602
TK9168K9NHJI;1;9959560
TK8806AH5K88;0;10596022
KR3257SKFOOO;1;15162824
PO4471GP5ZNS;1;15213409
PO47855PJ6M9;1;15592889
TK09295AVQ9K;1;8061349
KR3754XBCUA7;1;6909692
WA55349J34AZ;1;13046962
WA03529KOSW4;1;16738370
TK531296FS6P;1;17374437
TK2993350Q5B;1;17876195
KR7264461EUF;0;5999854
LU1598ONH26N;1;15742793
BI9064A7JVY1;1;18002743
TK9293H21A35;1;15498678
GD5253UHUGGV;1;8689380
GD4736BZFBRF;0;14927896
PO8187Y60AJI;1;14513170
LU6305SLODW1;1;11705345
KR1257WMWTOW;1;17283414
TK7155B0Y98L;0;17914221
TK3380USGJFV;1;15718585
KR3761CNAY31;1;14647675
CZ0727VKHQMV;1;7063396
GD3343KXF5AE;1;7658023
WA1772JVMCUB;1;6863028
BI4069OBQWTB;1;16902382
CZ3469MH4K6I;1;16254485
WA52282UDOX8;1;5926017
TK1081ORL8GX;1;9133151
KR5016GTAPU9;1;11911834
GD7584PMSEN1;0;11784677
CZ9026KOT5BC;1;18181835
TK7790G0WYFV;1;11701170
PO57879X6QU4;1;14074847
GD53280T17SQ;1;7329606
LU9000RHYOXP;1;8318580
BI7325WP0PGC;1;10134198
LU0803GPAK1B;1;13382345
WA2267Q18VEG;0;15237436
LU3096TSYXWI;1;11244079
LU0082K6FA5S;1;15702576
LU2199L25GO5;1;7683785
TK738267CP3L;1;15634705
TK5662NLQHSY;1;14231919
PO667606V4MM;1;14852273
KR8503NBKD53;1;18995807
BI92766J3PAZ;1;7218666
PO1967L0JMM5;1;16772409
TK46471RHM18;1;16557623
TK3866Y9E5QE;1;7585855
PO3820P2RECP;1;13176798
LU6045B9QOJP;1;6616931
CZ39185X3EGM;1;16457128
WA06624FSKV8;1;13372030
GD2252TU20X9;1;10564054
WA097201VQNQ;1;10914595
LU43327C6JC9;1;17988312
WA252385XOEQ;1;14958427
BI9707C2HFF9;1;17543095
GD6209I1FC1M;1;18857482
TK9817SSAG48;1;5374531
PO2002ARWYII;0;16561561
CZ1672FPXVN1;1;13626293
BI8988729T5R;1;6307184
LU9741RAC3ND;1;17585770
WA9784G987TN;0;5097972
KR3154PBN2BK;1;14623503
TK61109GPYHG;1;6936683
KR4416ZBGM64;1;18019751
WA49677RAUM1;0;18113163
GD1872NUCC59;1;18664739
PO9182COY1NU;1;15831026
WA4123ZQX0QZ;1;8818194
PO6365JR8V2H;1;8553190
KR7758G0ZPQ0;1;19917484
KR7756MIL0JU;1;17777884
KR1608Z3TX2N;1;17891480
PO0069T7WUMA;1;17020301
LU2054FX6WYF;1;16131228
LU8163PZEOIX;1;7593382
KR6409D54621;1;15567665
CZ9925ZL7V57;1;11222772
BI5649ZCW6LV;1;10810352
KR38129S3OCD;1;5788864
CZ6906NGLOU1;1;7988906
LU53830E03IA;1;15903912
PO19503F67OR;1;19916991
WA2660B5I98C;1;11647183
LU2321E7HUVS;1;16682351
PO9862VXTJJT;1;5465882
KR759202UPTA;1;14764872
PO1891Y3XA6V;1;10149059
LU7135P4EP7K;1;10969791
KR504369MUPN;1;8840367
PO3038QBEYPO;1;9194055
BI81459GM23E;1;7057651
GD4305XPTJ7I;1;18802917
BI8893ZF6G2E;1;12262708
TK678445Q0DQ;1;7949009
CZ1715YQJTS1;1;11442629
GD8350I9DJXA;1;10967441
BI12702BGTQI;1;15782696
CZ7732X7FAMO;1;11713842
