replacement_id;van_route_fk;vehicle_fk
957;347;69
958;884;27
959;848;59
960;544;58
961;341;21
962;870;16
963;219;100
964;700;37
965;759;37
966;237;94
967;369;45
968;441;100
969;660;53
970;761;92
971;605;94
972;983;59
973;584;37
974;987;33
975;127;29
976;754;66
977;36;76
978;540;76
979;47;55
980;656;30
981;795;33
982;616;10
983;815;17
984;468;20
985;250;70
986;525;65
987;573;100
988;323;56
989;673;100
990;171;65
991;236;90
992;389;35
993;971;33
994;357;92
995;557;32
996;873;38
997;746;89
998;329;91
999;798;61
1000;30;19
1001;565;81
1002;50;27
1003;304;52
1004;2;58
1005;950;4
1006;477;41
1007;64;19
1008;784;48
1009;702;54
1010;199;12
1011;89;22
1012;361;47
1013;398;38
1014;37;16
1015;470;15
1016;378;28
1017;127;56
1018;1029;66
1019;412;78
1020;590;26
1021;348;12
1022;567;73
1023;777;1
1024;709;87
1025;559;100
1026;429;37
1027;132;70
1028;450;1
1029;296;103
1030;995;84
1031;77;89
1032;152;70
1033;812;80
1034;123;52
1035;610;103
1036;1040;90
1037;994;78
1038;779;35
1039;402;95
1040;1054;9
1041;145;25
1042;672;108
1043;812;55
1044;529;55
1045;493;91
1046;515;106
1047;521;107
1048;12;49
1049;382;53
1050;1015;82
1051;463;42
1052;335;75
1053;901;7
1054;603;19
1055;101;90
1056;544;37
1057;144;91
1058;478;41
1059;779;43
1060;379;24
1061;479;76
1062;278;17
1063;905;40
1064;35;78
1065;746;88
1066;14;104
1067;151;33
1068;900;26
1069;566;24
1070;592;40
1071;985;8
1072;590;46
1073;849;107
1074;506;57
1075;900;65
1076;461;82
1077;1068;61
1078;957;77
1079;895;85
1080;398;75
1081;215;38
1082;565;33
1083;169;85
1084;754;60
1085;792;28
1086;98;88
1087;167;95
1088;840;86
1089;1017;99
1090;517;104
1091;969;5
1092;139;1
1093;186;36
1094;1020;13
1095;446;85
1096;20;31
1097;396;2
1098;178;75
1099;352;33
1100;602;49
