License_Plate;In_Use;Capacity
CZ4541PNQ1KL;1;11675719
GD3852U5GFZ6;1;11180969
WA0469CAIWB7;1;19992772
KR7860VERWZP;1;9621343
PO07990Y06O4;1;13140583
BI2127LO4VRJ;0;10655153
CZ0212WG8LVA;1;14990716
KR9672GUOAXU;1;9928757
TK240246I1WF;1;16168932
LU0706OBIIJ6;1;10510795
CZ908421VKSO;1;17301893
GD7266PPN7UB;1;5872240
PO5925XBDVNG;1;8174896
LU0564Y4ZF6V;1;9960171
TK2274RH4TMQ;0;9137725
BI1758ILUCX9;1;15878659
KR5384768Z82;1;17825846
PO6617ZBTUFI;1;8799348
WA4757PFR24I;1;7654174
LU1394PYP9ZF;1;8443231
CZ94701V8KEZ;1;14280174
CZ9249A8UG08;0;17506678
BI84649H9QXT;1;11658420
WA4166UYEF4R;1;18934455
CZ9168P6PO5H;0;18133279
KR5956DGDYRB;1;13976371
GD8676SXP3YQ;1;9612216
BI2415UEPICA;1;5190770
TK856802G2LU;1;6339556
LU64738VXK27;1;11664299
WA5282JASSGQ;1;11114485
TK7179SJV2WR;1;5024759
PO6808ERK21C;0;5530379
BI6472DVUU35;1;11706177
PO8078UL46SB;1;12839095
CZ033049JAI1;1;7186707
TK88376WSK9Y;1;15442897
LU988901VBHS;1;19734652
TK901707CLZG;1;19259085
WA6722QBNS7J;1;8832219
CZ9503NCE8FH;1;18741016
GD25570I3MK7;1;15739534
KR1428NAEGDN;1;16298583
CZ08096616RI;1;17009727
GD1405Y53SLB;1;5083714
LU2952TDG1LO;1;8506913
KR067152S4NY;1;8031558
LU3605XPPLV9;1;19712542
LU700921AVPI;1;9965775
PO51008AN1CE;1;19060954
PO11098NXU1T;1;16041989
BI0828B2H1LP;1;18802450
CZ3386U3RNN5;1;15323057
LU1309W5K3T2;1;12043926
GD9819JS0ZZZ;1;14834039
WA6717JASIHS;0;5703270
KR3722QZTUFG;1;14735359
BI7483RI33CU;1;6918706
CZ1510EMRN5Z;1;17827127
LU1430N1G4WI;1;15503495
CZ8672DLNXAD;1;6117826
GD281385UNMR;0;18589952
LU8105DQKGAQ;1;14449199
GD1838EEHEJC;1;6462008
TK9990M9KJAW;0;19487860
GD3158AC4ITC;1;8231170
KR8233CCLA3I;1;10664708
TK5897D4P2QW;1;6917810
TK3103R7Y1NM;1;18044660
KR3905IYJGIM;1;14015675
KR7529LU2EER;0;10909290
GD226462K2G7;1;16408090
WA09595A1HEE;1;10039604
GD6987X9SMJE;1;7926945
TK66423NWN8Z;1;8872107
LU7201I59C5D;1;19486737
PO9786JS00MO;1;11085696
KR3173U2W7QB;1;13451179
LU76629H1LZH;1;18810815
CZ63024FLGIF;1;9831663
LU9779XDTD24;1;6949002
PO11850Z9XN4;1;19737093
CZ8872CNXLI2;1;16100493
BI4596W3VF4B;1;18720724
KR0399S1I89J;1;19244975
GD7491QG5V5O;1;18030151
WA2877M7IXLI;1;11407381
WA2060DUBOGY;1;14438996
BI5119G0UJJT;1;16762131
PO29399KV62M;1;17904139
WA7416FT93NW;1;6061255
PO3883C9ZQQI;1;12542000
CZ4569Y4U4QN;1;18388411
PO59306XWCVM;0;11614934
CZ44799GM763;1;10461349
GD1084F2S2C9;1;6423258
PO0600BAAJJW;1;15001311
CZ5825JNDOVU;1;19914606
PO54862VSFQ2;1;11191750
TK3852RQ2WLM;1;6010855
WA5047B9OYOK;1;18470951
LU0003JU39B1;1;16224348
GD0526HRV9VS;1;8656947
GD5644LMFZKP;1;5127750
LU20722J8TW9;0;8245661
TK3101H1CIWV;1;8911692
KR5347MRM4GU;1;8721470
KR8269JDI1N7;1;8434409
CZ7388RE0PPU;1;10267733
TK85623H0CX8;1;5266855
GD8862U69V9S;1;17650571
BI2339O3C2NA;0;15431429
WA0137F1136F;1;9217946
WA17179ESLWS;1;17772919
LU1789FMLH2J;1;6988504
LU41718GE775;1;11355229
TK425019TZ4C;1;17634557
GD9995JIP1H6;1;10486931
LU0209K3LAAO;1;17762983
TK9678PMPN8G;1;9578467
LU15005G4W2R;1;15812155
LU7734C9UY60;1;16271394
WA9571HPDCRM;0;13898307
PO6247VU57Y0;1;11671538
CZ91906BKOF8;1;6074663
PO3572LV6QN5;1;13375477
CZ7071IYBSC5;1;11242427
GD45830CD4V8;1;6076953
KR4034XBGHP7;1;12406157
TK8721H06D6Q;1;10627370
BI9020MIJUEJ;1;12696982
CZ2196GMUKXR;0;18685795
LU5312WNVID6;1;17814174
WA18488G7IJ8;1;18108416
LU836195SZYK;1;12751163
TK7492E9XXHQ;1;19971619
KR89043PBAOX;1;9699322
PO22911XK5H0;0;17050424
GD00996VC09L;0;17513195
CZ6866C4C7PA;1;10373610
PO750833XFUE;1;15539101
BI1773RZGBIG;1;12943114
PO9554R2UCX4;1;5642097
CZ0534JGZZWH;0;16749261
KR4638ZXXIAY;1;15953399
PO3182BDZPEZ;1;12598854
LU5572J5DCWR;1;19585953
TK18454S6YDO;0;7939401
TK8443O0101W;1;16024351
TK5833LPHCXN;1;16427861
LU17372H6ZR1;1;18974078
BI06822CX8ZF;1;16683758
KR7116QMG21D;1;13663526
WA2717EUPOEB;1;16980800
GD3436JW865Q;1;15549587
KR6782O68VML;1;10638226
KR5016PD1KT6;1;19412333
WA7340X7PY4K;1;16581977
CZ2298CPUS57;1;16903309
CZ5685NEDM63;1;13025329
BI3884S5EGPI;1;18576219
LU2771CGNBGO;1;19002284
GD6410HX1H9W;1;9284554
TK5704QYGKK9;1;7646395
BI8906P37FFG;1;16752212
WA57324UY864;1;5414305
KR24413R0PQH;1;17003246
KR4953QD4CD4;1;8318492
TK6574ERRRJ5;1;16385682
CZ19779M87JS;1;18517922
WA7010YUILHY;1;15043166
TK7096KNTMS1;1;19018163
LU242480JNV4;1;11080833
KR4357U2TFLZ;0;19272084
BI7329LU5P2I;0;9553506
CZ6321KP20Y6;1;5095128
TK1378C3UL9H;0;10547150
BI8157EIPYPB;0;16859335
PO0139KJENPN;1;5052202
BI0997Z8HSPP;1;8095285
WA1665RYJ7AI;1;15488510
KR4185TZK07S;1;15418186
GD6860D7TZ7G;1;5537954
BI61392JPKXK;0;17863101
TK7544ZNK803;0;10932146
GD9311II7ONC;1;8895267
GD6559QAW22B;1;14623001
WA1612CS8LCR;1;14477626
BI7103OMKMAH;1;5715125
GD9985QU77DR;1;14637626
PO48009VEWKB;1;14948634
KR2481ZGN7DM;1;6927267
GD418765JI55;1;8829167
LU7373NRSR7I;1;17786694
GD0510L48GM4;1;7563287
GD3938OBM2GY;1;11631851
BI05120K4C0T;1;16173951
CZ9977CN9E7C;1;16671963
PO2671T54355;1;6661638
GD5108D1Q9NN;1;8465041
WA5002HXWPTB;1;10308373
WA1581ZB0NGG;1;6005092
PO29201W5CIZ;1;9082702
PO4568DHSV1S;1;11493150
LU9902576FYV;1;12996301
WA0242XL8YCA;1;16125136
WA3512SVDT7M;1;7850375
KR4810R5OGZ4;1;17451651
PO37181FCM2Z;1;17022213
BI4134QEX3M7;1;13483983
WA5122H9BM3M;1;7075016
GD2922V4AWIB;1;15059291
WA1480KSLRJA;1;6600528
GD5077HBU9GQ;1;11640534
WA1998LWFA13;1;5404601
BI0704UK5YYH;1;12617906
PO1935WZR3OA;1;7318835
KR5288KTZS7B;1;6446522
TK7226M37892;1;8045849
BI5544GZCO4V;0;16507429
WA2619FYCSA3;1;13176310
BI74874BZE9X;1;8113314
CZ09842X4Q1W;1;12554934
WA3223MQ6GWD;1;17571721
KR2035P6VMK9;0;10201648
GD41157YABG9;1;19729990
GD81774LQM9N;1;8042262
CZ05363T9BDW;0;11482822
